Категория,Тезис,Группа,Тип,Метрика,Описание,Методика расчёта,Эталон,Трактовка отклонения,Источник,Источник трактовки
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Операционный,Результат прохождения внешних аудитов безопасности,"Количество критичных несоответствий, выявленных при внешнем аудите ИБ.",Число критичных находок на аудит,0 критичных несоответствий,Наличие критичных несоответствий — прямой сигнал регуляторного и операционного риска.,Armorpoint 2025,Armorpoint 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Операционный,Среднее время обнаружения инцидента (MTTD),Среднее время от момента возникновения угрозы или инцидента безопасности до его обнаружения.,Среднее (дата обнаружения − дата возникновения) по инцидентам за период,≤24 часа,Превышение >72 часов означает слабый мониторинг и высокий риск ущерба.,SentinelOne / UpGuard 2026,SentinelOne 2026
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Операционный,Среднее время реагирования на инцидент безопасности (MTTR),Среднее время от момента обнаружения инцидента ИБ до его полного устранения.,Среднее (дата устранения − дата обнаружения) по инцидентам ИБ,≤4 часа для критичных,Рост времени реагирования означает слабость процессов incident response.,SecurityScorecard 2026,SecurityScorecard 2026
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Операционный,Среднее время устранения уязвимости,"Среднее время от обнаружения уязвимости до её устранения (патч, компенсирующая мера).",Среднее (дата закрытия − дата обнаружения) по уязвимостям за период,Критичные: ≤7 дней; высокие: ≤30 дней; средние: ≤90 дней,Превышение нормативов SLA по уязвимостям увеличивает окно риска.,Strobes / SecurityBoulevard 2025,Strobes 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Финансовый,Стоимость предотвращённого ущерба от ИБ-инцидентов,"Оценка финансовых потерь, предотвращённых благодаря средствам и процессам ИБ за отчётный период.",Потенциальный ущерб × Вероятность × Коэффициент снижения риска,Превышает годовой бюджет ИБ,Если стоимость предотвращённого ущерба < бюджета ИБ — необходим пересмотр приоритетов защиты.,Armorpoint 2025,Armorpoint 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Финансовый,Стоимость утечки данных,"Оценка финансового ущерба от одного инцидента утечки данных, включая штрафы, ущерб репутации и расходы на ликвидацию.",Прямые потери + Штрафы + Стоимость реагирования + Репутационный ущерб,"В среднем $4,88 млн (IBM 2024)",Рост стоимости утечки — индикатор неэффективности превентивных мер безопасности.,IBM Cost of a Data Breach 2024,IBM 2024
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Операционный,Уровень соответствия политикам безопасности,"Процент ИТ-активов, систем и процессов, соответствующих внутренним политикам безопасности.",(Соответствующие политике объекты / Все объекты) × 100%,≥95%,Отклонение ниже 90% — сигнал несоблюдения требований и риск регуляторных санкций.,KPI Depot 2026,KPI Depot 2026
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",20. Непрерывность бизнеса и восстановление (BCP/DR),Операционный,Актуальность плана обеспечения непрерывности,Дата последнего пересмотра плана обеспечения непрерывности бизнеса.,Дата последнего пересмотра BCP,Не реже 1 раза в год,Устаревший план BCP не отражает изменения в архитектуре и процессах.,TrustCloud 2025,TrustCloud 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",20. Непрерывность бизнеса и восстановление (BCP/DR),Операционный,Покрытие резервным копированием,"Доля критичных данных и систем, охваченных регулярным резервным копированием.",(Системы с актуальной резервной копией / Критичные системы) × 100%,100%,Любое значение <100% для критичных систем — неприемлемый риск потери данных.,TrustCloud 2025,TrustCloud 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",20. Непрерывность бизнеса и восстановление (BCP/DR),Операционный,Успешность проверки резервных копий,"Доля резервных копий, успешно восстановленных при тестовой проверке.",(Успешно восстановленные копии / Протестированные копии) × 100%,≥99%,"Низкий показатель означает, что резервные копии могут быть непригодны при реальном сбое.",TrustCloud 2025,TrustCloud 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",20. Непрерывность бизнеса и восстановление (BCP/DR),Операционный,Целевая точка восстановления данных (RPO),"Максимально допустимый объём потерянных данных при восстановлении после сбоя, выраженный во времени.",Задаётся при BIA; мониторинг: возраст последней успешной резервной копии vs. RPO,Критичные системы: ≤1 час; базовые: ≤24 часа,Превышение RPO означает потерю данных сверх допустимого уровня.,TrustCloud 2025,TrustCloud 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",20. Непрерывность бизнеса и восстановление (BCP/DR),Операционный,Целевое время восстановления сервиса (RTO),Максимально допустимое время простоя системы — от момента инцидента до полного восстановления.,Задаётся для каждой системы при BIA; мониторинг: фактическое время восстановления vs. RTO,Критичные системы: ≤4 часа; базовые: ≤24 часа,Превышение RTO означает нарушение обязательств перед бизнесом и потенциальный регуляторный риск.,TrustCloud 2025,TrustCloud 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",20. Непрерывность бизнеса и восстановление (BCP/DR),Операционный,Частота проведения учений по восстановлению после сбоев,Количество плановых учений по проверке планов восстановления после катастроф в год.,Количество DR-учений за год,≥1 раза в год для каждой критичной системы,"Отсутствие учений означает, что план DR не проверен и может не сработать при реальном инциденте.",TrustCloud / LinkedIn 2025,TrustCloud 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",27. Соответствие требованиям (Compliance),Операционный,Доля устранённых нарушений в срок,"Процент выявленных нарушений соответствия, устранённых в установленные сроки.",(Устранённые в срок нарушения / Все нарушения) × 100%,≥95%,Накопление неустранённых нарушений создаёт системный регуляторный риск.,Gov.capital 2025,Fortifai 2026
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",27. Соответствие требованиям (Compliance),Операционный,Оценка готовности к аудиту,Комплексная оценка готовности организации к внешнему или внутреннему аудиту по ключевым требованиям.,Взвешенная оценка выполнения контрольных требований перед аудитом (0–100),≥85,Значение <75 означает высокий риск выявления критичных несоответствий при аудите.,Strobes / SecurityBoulevard 2025,Strobes 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",27. Соответствие требованиям (Compliance),Операционный,"Процент устройств, соответствующих стандартам конфигурации","Доля ИТ-устройств, конфигурация которых соответствует установленным стандартам безопасности.",(Устройства в соответствии / Все управляемые устройства) × 100%,≥95%,Несоответствие конфигураций — частая причина уязвимостей и нарушений требований.,Tability 2024,Tability 2024
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",27. Соответствие требованиям (Compliance),Операционный,Среднее время обнаружения нарушений соответствия требованиям,Среднее время от момента возникновения нарушения соответствия до его обнаружения.,Среднее (дата обнаружения − дата возникновения) по нарушениям,≤7 дней,Длительное MTTD >30 дней увеличивает период неконтролируемого риска.,Fortifai 2026,Fortifai 2026
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",27. Соответствие требованиям (Compliance),Операционный,Уровень соответствия нормативным требованиям,"Общий процент применимых нормативных и регуляторных требований, выполненных организацией.",(Выполненные требования / Все применимые требования) × 100%,≥95%,"Значение <90% — прямой риск штрафов, санкций и приостановки деятельности.",Fortifai 2026,Fortifai 2026
8. Управление ИТ-сервисами (ITSM),Показывают качество ИТ-сервисов и скорость реакции на потребности бизнеса.,21. ITSM и сервисный каталог,Операционный,Время публикации нового сервиса в каталоге,Среднее время от принятия решения о создании сервиса до его публикации в каталоге.,Среднее (дата публикации − дата инициирования),≤10 рабочих дней,Длительное время >20 дней указывает на бюрократические барьеры в управлении каталогом.,Giva 2025,Giva 2025
8. Управление ИТ-сервисами (ITSM),Показывают качество ИТ-сервисов и скорость реакции на потребности бизнеса.,21. ITSM и сервисный каталог,Операционный,Зрелость ITSM-процессов,Интегральная оценка зрелости ИТ-процессов управления сервисами по модели CMMI или аналогичной.,Оценка по шкале зрелости (1–5) по результатам аудита ITSM-процессов,≥3 (управляемый),Зрелость ниже 3 означает нестандартизированные процессы и высокую вариативность результатов.,Giva / Atlassian 2025,Giva 2025
8. Управление ИТ-сервисами (ITSM),Показывают качество ИТ-сервисов и скорость реакции на потребности бизнеса.,21. ITSM и сервисный каталог,Операционный,Охват сервисного каталога,"Доля ИТ-сервисов организации, описанных и опубликованных в официальном сервисном каталоге.",(Сервисы в каталоге / Все известные ИТ-сервисы) × 100%,≥90%,Низкий охват означает непрозрачность портфеля сервисов и сложности в управлении.,Atlassian / Giva 2025,Atlassian 2025
8. Управление ИТ-сервисами (ITSM),Показывают качество ИТ-сервисов и скорость реакции на потребности бизнеса.,21. ITSM и сервисный каталог,Операционный,Соответствие SLA по сервисному каталогу,"Доля SLA по сервисам из каталога, выполненных в установленный срок за отчётный период.",(Выполненные SLA / Все SLA) × 100%,≥95%,Нарушение SLA снижает доверие бизнеса к ИТ и ведёт к штрафным санкциям.,Atlassian / Elements Apps 2025,Atlassian 2025
8. Управление ИТ-сервисами (ITSM),Показывают качество ИТ-сервисов и скорость реакции на потребности бизнеса.,21. ITSM и сервисный каталог,Операционный,Среднее время выполнения запроса на обслуживание,Среднее время от подачи запроса пользователя до его полного выполнения.,Среднее (дата закрытия − дата создания) по запросам на обслуживание,≤8 рабочих часов,Превышение нормы снижает продуктивность пользователей и их удовлетворённость.,Freshworks 2024,Freshworks 2024
8. Управление ИТ-сервисами (ITSM),Показывают качество ИТ-сервисов и скорость реакции на потребности бизнеса.,21. ITSM и сервисный каталог,Финансовый,Стоимость доставки сервиса,Средние полные затраты на предоставление одного сервиса из каталога за отчётный период.,Общие затраты на сервис / Объём предоставления за период,Снижение в динамике,Рост стоимости доставки без улучшения качества — сигнал неэффективности.,Elements Apps 2025,Elements Apps 2025
8. Управление ИТ-сервисами (ITSM),Показывают качество ИТ-сервисов и скорость реакции на потребности бизнеса.,21. ITSM и сервисный каталог,Операционный,Удовлетворённость пользователей ИТ-сервисами,Средняя оценка удовлетворённости пользователей ИТ-сервисами по результатам опросов.,Средний балл по шкале CSAT (1–5 или 1–10) по завершённым запросам,≥4.0 из 5,Снижение CSAT — сигнал о деградации качества сервисов или пользовательского опыта.,Freshworks / SMC Consulting 2025,Freshworks 2024
8. Управление ИТ-сервисами (ITSM),Показывают качество ИТ-сервисов и скорость реакции на потребности бизнеса.,21. ITSM и сервисный каталог,Операционный,Уровень принятия сервисного каталога пользователями,"Доля запросов, поданных через самообслуживание в сервисном каталоге, от всех запросов.",(Запросы через каталог / Все запросы) × 100%,≥60%,"Низкое принятие каталога означает, что пользователи предпочитают неформальные каналы.",Elements Apps / Atlassian 2025,Atlassian 2025
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",22. Бизнес-аналитика и BI,Операционный,Актуальность данных в аналитических отчётах,Максимальная задержка между обновлением данных в источнике и отражением в BI-дашбордах.,T_now − T_last_refresh в BI-системе,Операционные: ≤1 час; стратегические: ≤1 сутки,Устаревшие данные в дашбордах ведут к неверным управленческим решениям.,Multishoring 2025,Multishoring 2025
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",22. Бизнес-аналитика и BI,Операционный,Время подготовки нерегламентированного отчёта,Среднее время от запроса пользователя на нерегламентированный-отчёт до его получения.,Среднее (дата выдачи − дата запроса) по нерегламентированный-запросам,≤2 рабочих дня,Длительное время >5 дней означает перегруженность аналитиков или низкую гибкость BI-платформы.,ThoughtSpot / Multishoring 2025,ThoughtSpot 2026
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",22. Бизнес-аналитика и BI,Операционный,Доля активных пользователей BI-платформы,"Процент сотрудников, регулярно использующих BI-инструменты для принятия решений.",(Активные пользователи BI в месяц / Целевая аудитория) × 100%,≥50%,Низкая доля <30% означает низкое внедрение data-driven культуры в организации.,KPI Depot / ThoughtSpot 2026,ThoughtSpot 2026
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",22. Бизнес-аналитика и BI,Операционный,Доля решений на основе данных,"Процент управленческих решений, подкреплённых аналитическими данными из BI-системы.",Оценка на основе опроса руководителей или трекинга использования дашбордов,≥70%,Снижение показателя означает возврат к принятию решений на основе интуиции.,Multishoring / AssessTeam 2025,Multishoring 2025
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",22. Бизнес-аналитика и BI,Операционный,Доля самостоятельных запросов в BI,"Процент аналитических запросов, выполненных пользователями самостоятельно без участия ИТ.",(Самостоятельные BI-запросы / Все BI-запросы) × 100%,≥60%,Низкий показатель <40% означает зависимость бизнеса от ИТ в получении данных.,ThoughtSpot 2026,ThoughtSpot 2026
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",22. Бизнес-аналитика и BI,Операционный,Охват бизнес-процессов аналитическими дашбордами,"Доля ключевых бизнес-процессов, обеспеченных актуальной аналитической отчётностью в BI-системе.",(Процессы с BI-дашбордом / Ключевые бизнес-процессы) × 100%,≥80%,"Низкий охват означает, что часть решений принимается без данных, на основе интуиции.",ThoughtSpot 2026,ThoughtSpot 2026
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",22. Бизнес-аналитика и BI,Финансовый,Рентабельность инвестиций в аналитическую платформу (ROI),"Финансовая ценность, созданная BI-инструментами, относительно совокупных затрат на платформу.",(Экономия + Прирост дохода от BI-решений − Затраты на BI) / Затраты на BI × 100%,≥200% за 3 года,Низкий ROI BI указывает на недостаточное внедрение или несоответствие платформы задачам.,ThoughtSpot / KPI Depot 2026,ThoughtSpot 2026
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",23. Управление данными (Data Governance),Операционный,Время реагирования на нарушения политик данных,Среднее время от обнаружения нарушения политики управления данными до его устранения.,Среднее (дата устранения − дата обнаружения) по нарушениям,SLA по data steward,Длительное время реагирования повышает риск распространения некачественных данных.,Atlan / Scrut.io 2024,Atlan 2025
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",23. Управление данными (Data Governance),Операционный,Доля классифицированных данных,"Процент данных, прошедших классификацию по уровню конфиденциальности и критичности.",(Классифицированные данные / Все данные) × 100%,≥90%,Неклассифицированные данные не могут быть защищены в соответствии с требованиями безопасности.,Scrut.io 2024,Scrut.io 2024
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",23. Управление данными (Data Governance),Операционный,"Доля пользователей, прошедших обучение по управлению данными","Процент сотрудников, работающих с данными, прошедших обучение по политикам и стандартам DG.",(Сотрудники с обучением DG / Все работающие с данными) × 100%,≥90%,Низкий охват обучением означает высокий риск неумышленных нарушений политик.,Bluent 2026,Bluent 2026
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",23. Управление данными (Data Governance),Операционный,Охват данных назначенными владельцами,"Процент критичных наборов данных, для которых назначен ответственный владелец (Data Owner).",(Активы с владельцем / Все критичные активы) × 100%,≥95%,Данные без владельца — основная причина неконтролируемого качества и нарушений политик.,Atlan / Bluent 2026,Atlan 2025
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",23. Управление данными (Data Governance),Операционный,Охват политиками управления данными,"Доля бизнес-доменов и систем, охваченных утверждёнными политиками управления данными.",(Домены с политиками DG / Все домены) × 100%,≥85%,"Неохваченные домены — зоны риска для качества, безопасности и регуляторного соответствия.",Scrut.io / Atlan 2024,Scrut.io 2024
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",23. Управление данными (Data Governance),Финансовый,Рентабельность инвестиций в управление данными (ROI),"Финансовая ценность программы управления данными: экономия от снижения ошибок, штрафов и ускорения процессов.",(Экономия от DG − Затраты на DG) / Затраты на DG × 100%,≥150% за 3 года,Отрицательный или низкий ROI означает неэффективность программы или слабое спонсорство.,Atlan / Bluent 2026,Atlan 2025
9. Аналитика и данные (BI),"Показывают, насколько аналитика доступна, достоверна и помогает в принятии решений.",23. Управление данными (Data Governance),Операционный,Уровень соответствия регуляторным требованиям к данным,"Доля требований нормативных актов и регуляторов в части данных, выполненных организацией.",(Выполненные требования / Все применимые требования) × 100%,≥95%,"Несоответствие <90% несёт риск штрафов, санкций и репутационных потерь.",Scrut.io / Secureframe 2024,Scrut.io 2024
